Time,Dissipation Rate Incompressible,Dissipation Rate Compressible,Ekin incomp,Ekin comp,Enstrophy comp,DR_u,DR_S,DR_Sd,DR_p,Maximum Vorticity,Mean Temperature,uprime,Mean Entropy,ED_S,ED_D
0.79145831240379E+00000,0.56734105513900E-00003,-.26574131342967E-00002,0.13118708766722E+00000,0.12639715905273E+00000,0.33684773892523E+00000,0.54419285966355E-00003,0.56734105513900E-00003,0.55190892482192E-00003,-.32093220591187E-00002,0.27564980505050E+00001,0.99932716128060E+00000,0.29573308648985E+00000,0.20003099716740E+00001,0.52905322504678E-00003,0.31178294175516E-00004
0.83044770585751E+00000,0.57559542970561E-00003,-.25088645317374E-00002,0.13148752488881E+00000,0.12649791921810E+00000,0.34158617607122E+00000,0.55043429106595E-00003,0.57559542970561E-00003,0.55882133727906E-00003,-.30676858690164E-00002,0.26848748608116E+00001,0.99922235155755E+00000,0.29607152839453E+00000,0.20002605398586E+00001,0.53361458539151E-00003,0.33791587407744E-00004
0.86939454038882E+00000,0.58410058358166E-00003,-.22741989097650E-00002,0.13176496351929E+00000,0.12659106499693E+00000,0.34651771876817E+00000,0.55684386301681E-00003,0.58410058358166E-00003,0.56592943653830E-00003,-.28401283463033E-00002,0.26086008148428E+00001,0.99910815193949E+00000,0.29638371921018E+00000,0.20002103567197E+00001,0.53822803543430E-00003,0.36528139375996E-00004
0.90831613714284E+00000,0.59267980918365E-00003,-.19618807570643E-00002,0.13201616813106E+00000,0.12667342509230E+00000,0.35165024920507E+00000,0.56333940110075E-00003,0.59267980918365E-00003,0.57311953712824E-00003,-.25350002941925E-00002,0.25292061338950E+00001,0.99898350852467E+00000,0.29666610651378E+00000,0.20001593537897E+00001,0.54291379656653E-00003,0.39257627480667E-00004
0.94721873305641E+00000,0.60117807489060E-00003,-.15912388582145E-00002,0.13223823031032E+00000,0.12674234720586E+00000,0.35698989779364E+00000,0.56984927355452E-00003,0.60117807489060E-00003,0.58029220733306E-00003,-.21715310655475E-00002,0.24479691764465E+00001,0.99884762367843E+00000,0.29691551021609E+00000,0.20001074769555E+00001,0.54769173329689E-00003,0.41864957371914E-00004
0.98608848314947E+00000,0.60949275811922E-00003,-.11899563039401E-00002,0.13242888294137E+00000,0.12679607658781E+00000,0.36253803131696E+00000,0.57632663926297E-00003,0.60949275811922E-00003,0.58738201221487E-00003,-.17773383161549E-00002,0.23659712218295E+00001,0.99870015532275E+00000,0.29712947003101E+00000,0.20000546992625E+00001,0.55257844079768E-00003,0.44273910976914E-00004
0.10000000000000E+00001,0.61242727310208E-00003,-.10448750826948E-00002,0.13248926018785E+00000,0.12681147817678E+00000,0.36458083754338E+00000,0.57864250733619E-00003,0.61242727310208E-00003,0.58990409592463E-00003,-.16347791786194E-00002,0.23365039914726E+00001,0.99864453383402E+00000,0.29719719624950E+00000,0.20000355714669E+00001,0.55436281323781E-00003,0.45085001960609E-00004
0.10242788484997E+00001,0.61746744217902E-00003,-.79558104538183E-00003,0.13258458527737E+00000,0.12683354583333E+00000,0.36819703327512E+00000,0.58265763619669E-00003,0.61746744217902E-00003,0.59426090485726E-00003,-.13898419502391E-00002,0.22854175665318E+00001,0.99854395366368E+00000,0.29730409266985E+00000,0.20000018776641E+00001,0.55750541948304E-00003,0.46429504267986E-00004
0.10631193517371E+00001,0.62543180813430E-00003,-.42318391641728E-00003,0.13271064048900E+00000,0.12685664563371E+00000,0.37416009146124E+00000,0.58909238144417E-00003,0.62543180813430E-00003,0.60120552367397E-00003,-.10243894400913E-00002,0.22055590319163E+00001,0.99837421818780E+00000,0.29744539049378E+00000,0.19999471248256E+00001,0.56265705512059E-00003,0.48440633422188E-00004
0.11019632329127E+00001,0.63335826654888E-00003,-.10249343425684E-00003,0.13280506445386E+00000,0.12686619999385E+00000,0.38032482813016E+00000,0.59558062417941E-00003,0.63335826654888E-00003,0.60817317163563E-00003,-.71066660589247E-00003,0.21321259085546E+00001,0.99819468214208E+00000,0.29755118826163E+00000,0.19998912741001E+00001,0.56796031085430E-00003,0.50343899922794E-00004
0.11408008716682E+00001,0.64137879390479E-00003,0.15221277010873E-00003,0.13286974083284E+00000,0.12686452666662E+00000,0.38667628539816E+00000,0.60218905714084E-00003,0.64137879390479E-00003,0.61525230272852E-00003,-.46303953261979E-00003,0.20642855105941E+00001,0.99800708457805E+00000,0.29762363350697E+00000,0.19998342857922E+00001,0.57341859503506E-00003,0.52231648394201E-00004
0.11796195869913E+00001,0.64961599374999E-00003,0.33526952827966E-00003,0.13290734763035E+00000,0.12685433376402E+00000,0.39319379007953E+00000,0.60897797265770E-00003,0.64961599374999E-00003,0.62252397968814E-00003,-.28725445140849E-00003,0.20016244539622E+00001,0.99781360314817E+00000,0.29766574949133E+00000,0.19997761274495E+00001,0.57902984175500E-00003,0.54189769992231E-00004
0.12184416248453E+00001,0.65817009083469E-00003,0.44726933441253E-00003,0.13292113964677E+00000,0.12683840675764E+00000,0.39985786621230E+00000,0.61599740670617E-00003,0.65817009083469E-00003,0.63005496808188E-00003,-.18278563366935E-00003,0.19438812585975E+00001,0.99761654307954E+00000,0.29768119372551E+00000,0.19997167190580E+00001,0.58479203814866E-00003,0.56284236535950E-00004
0.12572894938361E+00001,0.66711225478062E-00003,0.49132730976428E-00003,0.13291466987755E+00000,0.12681943867659E+00000,0.40664523458722E+00000,0.62328156383165E-00003,0.66711225478062E-00003,0.63789179414670E-00003,-.14656448438242E-00003,0.18902219516868E+00001,0.99741838725217E+00000,0.29767394900858E+00000,0.19996559850853E+00001,0.59069857877162E-00003,0.58559409288867E-00004
0.12961593274930E+00001,0.67649820642521E-00003,0.47039274412611E-00003,0.13289167567544E+00000,0.12680001150162E+00000,0.41352469087623E+00000,0.63085366411446E-00003,0.67649820642521E-00003,0.64606851154841E-00003,-.17567576742230E-00003,0.18406832590768E+00001,0.99722182705243E+00000,0.29764819913833E+00000,0.19995938986604E+00001,0.59673430650775E-00003,0.61050421870747E-00004
0.13350171543339E+00001,0.68639427523820E-00003,0.38652679577045E-00003,0.13285601758202E+00000,0.12678262782633E+00000,0.42045714832187E+00000,0.63873860598863E-00003,0.68639427523820E-00003,0.65462382906827E-00003,-.26809703329782E-00003,0.17945179060825E+00001,0.99702966101057E+00000,0.29760826330600E+00000,0.19995304910513E+00001,0.60287505537441E-00003,0.63802432834862E-00004
0.13738626791307E+00001,0.69691592577175E-00003,0.24172011553854E-00003,0.13281150497288E+00000,0.12676969701745E+00000,0.42740846827996E+00000,0.64698728067808E-00003,0.69691592577175E-00003,0.66363016236963E-00003,-.42191004683109E-00003,0.17521272827449E+00001,0.99684434935187E+00000,0.29755840320053E+00000,0.19994657455950E+00001,0.60909866650727E-00003,0.66891241698584E-00004
0.14127002167204E+00001,0.70823273850944E-00003,0.39670201664130E-00004,0.13276175183640E+00000,0.12676352086126E+00000,0.43434620451393E+00000,0.65567746682633E-00003,0.70823273850944E-00003,0.67319589067999E-00003,-.63352568901586E-00003,0.17125966359672E+00001,0.99666805716053E+00000,0.29750266311009E+00000,0.19993996354909E+00001,0.61538214563738E-00003,0.70429802142454E-00004
0.14515328652185E+00001,0.72056943213922E-00003,-.21237184343596E-00003,0.13271002856448E+00000,0.12676619382437E+00000,0.44124057844944E+00000,0.66491449569575E-00003,0.72056943213922E-00003,0.68346614102915E-00003,-.89583798446511E-00003,0.16763623783873E+00001,0.99650259180056E+00000,0.29744470473741E+00000,0.19993321252211E+00001,0.62170258588393E-00003,0.74569210234082E-00004
0.14903651411782E+00001,0.73420950271865E-00003,-.50249544756401E-00003,0.13265909722896E+00000,0.12677944172871E+00000,0.44806710855646E+00000,0.67483398145935E-00003,0.73420950271865E-00003,0.69462582150162E-00003,-.11971212690656E-00002,0.16423371508068E+00001,0.99634932588549E+00000,0.29738762272939E+00000,0.19992631569698E+00001,0.62803969704508E-00003,0.79499956674360E-00004
0.15000000000000E+00001,0.73785020838817E-00003,-.57930003060488E-00003,0.13264684407460E+00000,0.12678451651643E+00000,0.44975495429882E+00000,0.67743075330010E-00003,0.73785020838817E-00003,0.69757057117989E-00003,-.12768706017848E-00002,0.16345090968212E+00001,0.99631330522882E+00000,0.29737388819980E+00000,0.19992458106538E+00001,0.62961903613409E-00003,0.80878019656754E-00004
0.15291344618464E+00001,0.74948071454318E-00003,-.81341891230569E-00003,0.13261114252230E+00000,0.12680438262013E+00000,0.45479688158957E+00000,0.68558979843130E-00003,0.74948071454318E-00003,0.70688676939444E-00003,-.15203056817001E-00002,0.16116429060080E+00001,0.99620940534739E+00000,0.29733386680330E+00000,0.19991927662496E+00001,0.63436680911947E-00003,0.85448510803152E-00004
0.15680054469286E+00001,0.76691186443063E-00003,-.11256586914011E-00002,0.13256729545033E+00000,0.12684157380430E+00000,0.46144916835319E+00000,0.69745697914248E-00003,0.76691186443063E-00003,0.72060860635707E-00003,-.18462672977581E-00002,0.15826518385418E+00001,0.99608273588390E+00000,0.29728470691727E+00000,0.19991205264294E+00001,0.64070092663955E-00003,0.92748248217025E-00004
0.16069221540286E+00001,0.78717220797007E-00003,-.14154140099223E-00002,0.13252810466417E+00000,0.12689059320359E+00000,0.46801499284646E+00000,0.71076620907824E-00003,0.78717220797007E-00003,0.73623490369061E-00003,-.21516489136129E-00002,0.15685372230853E+00001,0.99596966383798E+00000,0.29724076062363E+00000,0.19990463141349E+00001,0.64703149007637E-00003,0.10184883084446E-00003
0.16459041686047E+00001,0.81144758402990E-00003,-.16588400041750E-00002,0.13249317360079E+00000,0.12695014825179E+00000,0.47450958515576E+00000,0.72611664220114E-00003,0.81144758402990E-00003,0.75456053967369E-00003,-.24134005438487E-00002,0.15921387290026E+00001,0.99586993643999E+00000,0.29720158546099E+00000,0.19989697867588E+00001,0.65337048221849E-00003,0.11354016296469E-00003
0.16849712511850E+00001,0.84073399168870E-00003,-.18327993309082E-00002,0.13246122221537E+00000,0.12701797680339E+00000,0.48095914914626E+00000,0.74401690101379E-00003,0.84073399168870E-00003,0.77625679290994E-00003,-.26090561238182E-00002,0.16149752556841E+00001,0.99578315797836E+00000,0.29716574748264E+00000,0.19988902502408E+00001,0.65974057625767E-00003,0.12847472706651E-00003
0.17241437521302E+00001,0.87401488406669E-00003,-.19196961183736E-00002,0.13243057067255E+00000,0.12709108268140E+00000,0.48740359639177E+00000,0.76397538630430E-00003,0.87401488406669E-00003,0.80065638282094E-00003,-.27203525011945E-00002,0.17589534985245E+00001,0.99570861676864E+00000,0.29713136339846E+00000,0.19988072761356E+00001,0.66617826547304E-00003,0.14591804832445E-00003
0.17634390654988E+00001,0.91161253874014E-00003,-.19216554128843E-00002,0.13239996808185E+00000,0.12716659831554E+00000,0.49390868643084E+00000,0.78618768478719E-00003,0.91161253874014E-00003,0.82799565384233E-00003,-.27496510667266E-00002,0.26564390410428E+00001,0.99564492881049E+00000,0.29709703025763E+00000,0.19987222252570E+00001,0.67275215126655E-00003,0.16613140815460E-00003
0.18028514125181E+00001,0.96092699985432E-00003,-.18548612549477E-00002,0.13236799497657E+00000,0.12724204062198E+00000,0.50055230677071E+00000,0.81440357252971E-00003,0.96092699985432E-00003,0.86324207060406E-00003,-.27181033255518E-00002,0.37905030400247E+00001,0.99559100921198E+00000,0.29706115529362E+00000,0.19986363567577E+00001,0.67955397130927E-00003,0.19438648347933E-00003
0.18422063287347E+00001,0.10273009448065E-00002,-.17153676825392E-00002,0.13233071450930E+00000,0.12731328897276E+00000,0.50733979585629E+00000,0.85129862313518E-00003,0.10273009448065E-00002,0.90996521672530E-00003,-.26253328992645E-00002,0.49397403061492E+00001,0.99554859352378E+00000,0.29701931980854E+00000,0.19985441725353E+00001,0.68659413636457E-00003,0.23409109270959E-00003
0.18814848173565E+00001,0.11030213396854E-00002,-.14692360059569E-00002,0.13228210371118E+00000,0.12737430367433E+00000,0.51424908556672E+00000,0.89297958616653E-00003,0.11030213396854E-00002,0.96300192037604E-00003,-.24322379263330E-00002,0.57851969449136E+00001,0.99552108125039E+00000,0.29696476077270E+00000,0.19984332147230E+00001,0.69382442215191E-00003,0.27879379608661E-00003
0.19207126158905E+00001,0.11734490543140E-00002,-.11102299050381E-00002,0.13222127743363E+00000,0.12742038900133E+00000,0.52129976647105E+00000,0.93209562503474E-00003,0.11734490543140E-00002,0.10125655519284E-00002,-.21227954569665E-00002,0.59095921760310E+00001,0.99550763313238E+00000,0.29689647739421E+00000,0.19983018222909E+00001,0.70121800501313E-00003,0.31847181318110E-00003
0.19599109879710E+00001,0.12333925288174E-00002,-.73537413322275E-00003,0.13215695780336E+00000,0.12745319958974E+00000,0.52857636636978E+00000,0.96609644146766E-00003,0.12333925288174E-00002,0.10552113419145E-00002,-.17905854751373E-00002,0.62867883347287E+00001,0.99550036574861E+00000,0.29682425530197E+00000,0.19981698256211E+00001,0.70886734723476E-00003,0.35167888221006E-00003
0.19990981805057E+00001,0.12929870983030E-00002,-.47755584600789E-00003,0.13209822081057E+00000,0.12747930407080E+00000,0.53620088598660E+00000,0.10001772048161E-00002,0.12929870983030E-00002,0.10977739717771E-00002,-.15753298177850E-00002,0.77910942778870E+00001,0.99549279764270E+00000,0.29675828638874E+00000,0.19980544669615E+00001,0.71697837950987E-00003,0.38649226450858E-00003
0.20000000000000E+00001,0.12945661527231E-00002,-.47596101562558E-00003,0.13209694863655E+00000,0.12747987017635E+00000,0.53639024820882E+00000,0.10010739724404E-00002,0.12945661527231E-00002,0.10988974080864E-00002,-.15748584237120E-00002,0.78285206908520E+00001,0.99549262022845E+00000,0.29675685741759E+00000,0.19980520051497E+00001,0.71718105669878E-00003,0.38743589704155E-00003
0.20381270478915E+00001,0.13730956422507E-00002,-.34193739498891E-00003,0.13204361813099E+00000,0.12750229890237E+00000,0.54426634915210E+00000,0.10448491569799E-00002,0.13730956422507E-00002,0.11542226272012E-00002,-.14961600221902E-00002,0.88806973439260E+00001,0.99548741534151E+00000,0.29669694766544E+00000,0.19979492343078E+00001,0.72567582485393E-00003,0.43565923931305E-00003
0.20768970469398E+00001,0.15024798321868E-00002,-.16313386495454E-00003,0.13197891998862E+00000,0.12751667285144E+00000,0.55267059565111E+00000,0.11144150007750E-00002,0.15024798321868E-00002,0.12436969322979E-00002,-.14068307972524E-00002,0.94162338382414E+00001,0.99549531440690E+00000,0.29662425163678E+00000,0.19978233279366E+00001,0.73482753872364E-00003,0.51609800333158E-00003
0.21153707437036E+00001,0.16847916819133E-00002,0.27299622400891E-00003,0.13189052516028E+00000,0.12750961042889E+00000,0.56119205548425E+00000,0.12104925147861E-00002,0.16847916819133E-00002,0.13685107970998E-00002,-.10955145730909E-00002,0.11051503507219E+00002,0.99552609633087E+00000,0.29652490076471E+00000,0.19976446863017E+00001,0.74412678978104E-00003,0.62968553056821E-00003
0.21535826850379E+00001,0.18354917264373E-00002,0.88475108334424E-00003,0.13178737775883E+00000,0.12747511126156E+00000,0.57002406392271E+00000,0.12907652165100E-00002,0.18354917264373E-00002,0.14722847761432E-00002,-.58753369279892E-00003,0.12400937232459E+00002,0.99557198455189E+00000,0.29640892671986E+00000,0.19974260371966E+00001,0.75360000797234E-00003,0.72114852863266E-00003
0.21917801026898E+00001,0.18405379490418E-00002,0.12327605581687E-00002,0.13168998619720E+00000,0.12742483435458E+00000,0.57938039875265E+00000,0.12983553410202E-00002,0.18405379490418E-00002,0.14790710891426E-00002,-.24631053097392E-00003,0.14005154677697E+00002,0.99561790272413E+00000,0.29629938260393E+00000,0.19972092985368E+00001,0.76347139647052E-00003,0.71609598758032E-00003
0.22303771987470E+00001,0.17600067681086E-00002,0.11888386520265E-00002,0.13160928823248E+00000,0.12737653657100E+00000,0.58941687444718E+00000,0.12635569915664E-00002,0.17600067681086E-00002,0.14290410008923E-00002,-.24020234886583E-00003,0.15128819701018E+00002,0.99565522660465E+00000,0.29620858442712E+00000,0.19970202137981E+00001,0.77411823769686E-00003,0.65528058078236E-00003
0.22689510399464E+00001,0.17429056793268E-00002,0.10428202734363E-00002,0.13154675844468E+00000,0.12733961323624E+00000,0.60014589109097E+00000,0.12609634561110E-00002,0.17429056793268E-00002,0.14216077542180E-00002,-.37878748078170E-00003,0.15320079561698E+00002,0.99568199954626E+00000,0.29613820922522E+00000,0.19968581582278E+00001,0.78565540389515E-00003,0.63869331916464E-00003
0.23070526038185E+00001,0.18183793609636E-00002,0.11452095399222E-00002,0.13149273188379E+00000,0.12730476385634E+00000,0.61107463590213E+00000,0.13048977907740E-00002,0.18183793609636E-00002,0.14760686214763E-00002,-.33085908155409E-00003,0.16901317449570E+00002,0.99570483987568E+00000,0.29607739065295E+00000,0.19966972273287E+00001,0.79760253507434E-00003,0.68820437362764E-00003
0.23449912505876E+00001,0.19530321533977E-00002,0.15299965099783E-00002,0.13142950733557E+00000,0.12725293571200E+00000,0.62199063687895E+00000,0.13785493797802E-00002,0.19530321533977E-00002,0.15701248482354E-00002,-.40128338257028E-00004,0.17163381722407E+00002,0.99573577178219E+00000,0.29600620188950E+00000,0.19964982327025E+00001,0.80975428393206E-00003,0.77486361061802E-00003
0.23829472715468E+00001,0.20535863319285E-00002,0.19301874641839E-00002,0.13134981978340E+00000,0.12717590044743E+00000,0.63331286186615E+00000,0.14350839579783E-00002,0.20535863319285E-00002,0.16413340130285E-00002,0.28885345115535E-00003,0.15432519287181E+00002,0.99578061816074E+00000,0.29591645192903E+00000,0.19962479448199E+00001,0.82201657610802E-00003,0.82801568336533E-00003
0.24207275180345E+00001,0.20867640321330E-00002,0.19977999119978E-00002,0.13127590986674E+00000,0.12709410801530E+00000,0.64661923637346E+00000,0.14590310929657E-00002,0.20867640321330E-00002,0.16684129021416E-00002,0.32938700985617E-00003,0.19762312139427E+00002,0.99582404485770E+00000,0.29583318482634E+00000,0.19960081638689E+00001,0.83650866736134E-00003,0.83731098186584E-00003
0.24585144757491E+00001,0.20966125508685E-00002,0.17179384973244E-00002,0.13122892893796E+00000,0.12702915242002E+00000,0.66055488275670E+00000,0.14717415945762E-00002,0.20966125508685E-00002,0.16803540889442E-00002,0.37584408380224E-00004,0.21884936384717E+00002,0.99584854374540E+00000,0.29578024380493E+00000,0.19958161302249E+00001,0.85180616852174E-00003,0.83980399259348E-00003
