Time	Dissipation Rate Incompressible	Dissipation Rate Compressible	Ekin incomp	Ekin comp	Enstrophy comp	DR_u	DR_S	DR_Sd	DR_p	Maximum Vorticity	Mean Temperature	uprime	Mean Entropy	ED_S	ED_D
0.77206025491253E+00000	 0.56339181280940E-00003	 -.26997224702931E-00002	 0.13103080558130E+00000	 0.12634577024655E+00000	 0.33456584401118E+00000	 0.54118394371670E-00003	 0.56339181280940E-00003	 0.54858656674759E-00003	 -.32483090370407E-00002	 0.27891888880560E+00001	 0.99937565825226E+00000	 0.29555688181386E+00000	 0.20003356517727E+00001	 0.52680444550541E-00003	 0.29965440516764E-00004
0.81218023676241E+00000	 0.57169231999948E-00003	 -.25893922675945E-00002	 0.13134996491630E+00000	 0.12645196288161E+00000	 0.33934528209046E+00000	 0.54748916833960E-00003	 0.57169231999948E-00003	 0.55555688555955E-00003	 -.31449491531540E-00002	 0.27185028529097E+00001	 0.99927210496234E+00000	 0.29591661541308E+00000	 0.20002852458299E+00001	 0.53147587467223E-00003	 0.32545466262159E-00004
0.85229821277594E+00000	 0.58035481522252E-00003	 -.23876281043548E-00002	 0.13164681760060E+00000	 0.12655186689414E+00000	 0.34433192380796E+00000	 0.55402069465024E-00003	 0.58035481522252E-00003	 0.56279873484099E-00003	 -.29504268391958E-00002	 0.26419331847121E+00001	 0.99915902354514E+00000	 0.29625081445806E+00000	 0.20002340136040E+00001	 0.53619941759163E-00003	 0.35321885470084E-00004
0.89240559767139E+00000	 0.58918250272373E-00003	 -.20979872403706E-00002	 0.13191749189057E+00000	 0.12664182186847E+00000	 0.34953112841115E+00000	 0.56068512037719E-00003	 0.58918250272373E-00003	 0.57018424782603E-00003	 -.26681714881966E-00002	 0.25613318594560E+00001	 0.99903526485757E+00000	 0.29655521339830E+00000	 0.20001819133780E+00001	 0.54099291487757E-00003	 0.38152706066611E-00004
0.93249961136328E+00000	 0.59798829415728E-00003	 -.17367609296052E-00002	 0.13215847963431E+00000	 0.12671858830580E+00000	 0.35494896174675E+00000	 0.56739477816691E-00003	 0.59798829415728E-00003	 0.57759261683035E-00003	 -.23143535464355E-00002	 0.24782333309437E+00001	 0.99889984914572E+00000	 0.29682596431165E+00000	 0.20001288974425E+00001	 0.54587680493007E-00003	 0.40900742520285E-00004
0.97259809595728E+00000	 0.60663909856040E-00003	 -.13308228937616E-00002	 0.13236707956639E+00000	 0.12677984197940E+00000	 0.36059281293519E+00000	 0.57409018668660E-00003	 0.60663909856040E-00003	 0.58493982397785E-00003	 -.19157627177394E-00002	 0.23938488440867E+00001	 0.99875208615326E+00000	 0.29706012810696E+00000	 0.20000748909043E+00001	 0.55087399600893E-00003	 0.43464751485733E-00004
0.10000000000000E+00001	 0.61243232488213E-00003	 -.10448162354559E-00002	 0.13249001203240E+00000	 0.12681213335690E+00000	 0.36458312205268E+00000	 0.57864675935605E-00003	 0.61243232488213E-00003	 0.58990861453140E-00003	 -.16347248499873E-00002	 0.23359304570553E+00001	 0.99864393199935E+00000	 0.29719803950946E+00000	 0.20000373914680E+00001	 0.55436610837234E-00003	 0.45086060465970E-00004
0.10125389644203E+00001	 0.61504403201002E-00003	 -.91505984031469E-00003	 0.13254085065898E+00000	 0.12682429632887E+00000	 0.36644050774851E+00000	 0.58072143689813E-00003	 0.61504403201002E-00003	 0.59216230193541E-00003	 -.15072221422501E-00002	 0.23095242112611E+00001	 0.99859252712411E+00000	 0.29725505396206E+00000	 0.20000200657469E+00001	 0.55598246002394E-00003	 0.45790306771865E-00004
0.10526739497794E+00001	 0.62330858463895E-00003	 -.51906354279098E-00003	 0.13268070500290E+00000	 0.12685253948055E+00000	 0.37254143045296E+00000	 0.58736730838832E-00003	 0.62330858463895E-00003	 0.59934773380518E-00003	 -.11184112765962E-00002	 0.22259262344404E+00001	 0.99842024425351E+00000	 0.29741184128287E+00000	 0.19999638834242E+00001	 0.56126308196287E-00003	 0.47916255501135E-00004
0.10928275461315E+00001	 0.63150053192264E-00003	 -.17238226008263E-00003	 0.13278644724996E+00000	 0.12686577825933E+00000	 0.37886300724157E+00000	 0.59405459034980E-00003	 0.63150053192264E-00003	 0.60653657087406E-00003	 -.77891883095669E-00003	 0.21482839471304E+00001	 0.99823703177371E+00000	 0.29753033150696E+00000	 0.19999065237356E+00001	 0.56670545098632E-00003	 0.49903446781159E-00004
